id,mu,lambda,mut_prob,cx_prob,HV
3107,841,979,0.962669774889946,0.037330225110054016,3.3806
3108,841,1648,0.8072730600833893,0.19272693991661072,3.9749
3109,704,820,0.8072730600833893,0.19272693991661072,3.1246
3110,647,1370,0.41418353002518415,0.5858164699748158,3.3338
3111,330,699,0.41418353002518415,0.5858164699748158,3.4051
3112,647,1163,0.41418353002518415,0.5858164699748158,3.6919
3113,647,1370,0.5456254817545414,0.4543745182454586,3.3787
3114,330,593,0.5456254817545414,0.4543745182454586,3.2806
3115,288,316,0.5619998062029481,0.4380001937970519,3.1285
3116,830,912,0.5619998062029481,0.4380001937970519,3.4218
3117,288,834,0.5619998062029481,0.4380001937970519,3.2356
3118,288,316,0.1336136246100068,0.8663863753899932,2.6191
3119,830,2403,0.1336136246100068,0.8663863753899932,3.6782
3120,331,665,0.1890567196533084,0.8109432803466916,3.2687
3121,74,148,0.1890567196533084,0.8109432803466916,2.1843
3122,331,460,0.1890567196533084,0.8109432803466916,2.9843
3123,331,665,0.7744322884827852,0.22556771151721478,3.4681
3124,74,102,0.7744322884827852,0.22556771151721478,2.8066
3125,682,697,0.8349430421367288,0.16505695786327124,2.9954
3126,642,656,0.8349430421367288,0.16505695786327124,3.1615
3127,682,1570,0.8349430421367288,0.16505695786327124,3.5741
3128,682,697,0.43694579508155584,0.5630542049184442,3.0064
3129,642,1478,0.43694579508155584,0.5630542049184442,3.5453
3130,876,2567,0.28821918554604053,0.7117808144539595,3.6948
3131,423,1239,0.28821918554604053,0.7117808144539595,3.533
3132,876,2337,0.28821918554604053,0.7117808144539595,3.5056
3133,876,2567,0.1674311114475131,0.8325688885524869,3.5328
3134,423,1128,0.1674311114475131,0.8325688885524869,3.2994
3135,285,544,0.6721256449818611,0.3278743550181389,3.2456
3136,990,1892,0.6721256449818611,0.3278743550181389,3.5291
3137,285,430,0.6721256449818611,0.3278743550181389,3.2031
3138,285,544,0.5127925779670477,0.4872074220329523,3.3297
3139,990,1496,0.5127925779670477,0.4872074220329523,3.5215
3140,117,301,0.974166851490736,0.025833148509263992,3.1423
3141,804,2068,0.974166851490736,0.025833148509263992,3.7452
3142,117,219,0.974166851490736,0.025833148509263992,2.59
3143,117,301,0.9342197813093662,0.06578021869063377,3.0097
3144,804,1510,0.9342197813093662,0.06578021869063377,3.6371
3145,951,1506,0.11221558414399624,0.8877844158560038,3.5945
3146,354,560,0.11221558414399624,0.8877844158560038,2.9795
3147,951,2648,0.11221558414399624,0.8877844158560038,3.4651
3148,951,1506,0.27617807034403086,0.7238219296559691,3.2489
3149,354,985,0.27617807034403086,0.7238219296559691,3.6492
3150,552,1376,0.5031166868284345,0.49688331317156553,3.682
3151,677,1687,0.5031166868284345,0.49688331317156553,3.5257
3152,552,1203,0.5031166868284345,0.49688331317156553,3.9037
3153,552,1376,0.01447994727641344,0.9855200527235866,2.8447
3154,677,1476,0.01447994727641344,0.9855200527235866,2.8414
3155,428,630,0.3948454847559333,0.6051545152440667,3.256
