,mu,lambda,prob,HV
249,853.881836,1.46313477,0.297363281,0.2186103987927719
250,838.110352,0.777099609,0.994628906,0.1222257743493411
251,141.38183594,0.77709961,0.99462891,0.081498594363677
252,838.11035156,0.83813477,0.99462891,0.122494989715092
253,838.110352,0.777099609,0.0473632812,0.1793771263205615
254,141.381836,0.838134766,0.0473632812,0.0301026175199962
255,363.11035156,2.02709961,0.49462891,0.2223829496726706
256,616.381836,2.02709961,0.494628906,0.4852547077666291
257,363.11035156,2.08813477,0.49462891,0.252325683547983
258,363.11035156,2.02709961,0.54736328,0.2621381737789867
259,616.381836,2.08813477,0.547363281,0.1795934290596807
260,481.860352,1.08959961,0.119628906,0.1781136288146012
261,735.131836,1.08959961,0.119628906,0.1017212219958978
262,481.860352,1.77563477,0.119628906,0.1567254074989046
263,481.86035156,1.08959961,0.92236328,0.1431994050075021
264,735.13183594,1.77563477,0.92236328,0.2655562665082136
265,956.860352,2.33959961,0.619628906,0.349065995039107
266,260.13183594,2.33959961,0.61962891,0.1100443454726808
268,956.860352,2.33959961,0.422363281,0.2572193326278476
269,260.13183594,0.52563477,0.42236328,0.1362816432800823
270,719.360352,1.71459961,0.369628906,0.2132911332899253
271,972.631836,1.71459961,0.369628906,0.3384616212781852
272,719.360352,1.15063477,0.369628906,0.108544244021501
273,719.360352,1.71459961,0.172363281,0.1327607028716626
274,972.631836,1.15063477,0.172363281,0.1645520496162801
275,244.36035156,2.96459961,0.86962891,0.2212736503924671
276,497.63183594,2.96459961,0.86962891,0.4843707823936399
277,244.36035156,2.40063477,0.86962891,0.0706186787283053
278,244.36035156,2.96459961,0.67236328,0.1561971122387164
279,497.63183594,2.40063477,0.67236328,0.2825960643426978
280,184.98535156,0.62084961,0.30712891,0.0347602778217668
281,200.75683594,0.62084961,0.30712891,0.095726344227932
282,184.98535156,1.61938477,0.30712891,0.1758181266403866
283,184.98535156,0.62084961,0.60986328,0.0681715462542723
284,200.75683594,1.61938477,0.60986328,0.1502884472456385
285,659.98535156,1.87084961,0.80712891,0.2283942062847861
286,675.75683594,1.87084961,0.80712891,0.3556525999043432
287,659.98535156,2.86938477,0.80712891,0.2855888039913987
288,659.985352,1.87084961,0.109863281,0.1297317069062309
289,675.756836,2.86938477,0.109863281,0.1803525345138031
290,897.485352,1.24584961,0.0571289062,0.2258830931873457
291,438.256836,1.24584961,0.0571289062,0.0487032534634549
292,897.485352,2.24438477,0.0571289062,0.2219632393083462
293,897.485352,1.24584961,0.359863281,0.1269694342178543
294,438.256836,2.24438477,0.359863281,0.1552669650684137
295,422.48535156,2.49584961,0.55712891,0.2122855805962393
296,913.256836,2.49584961,0.557128906,0.2070999030966391
297,422.48535156,0.99438477,0.55712891,0.2101909929109269
298,422.48535156,2.49584961,0.85986328,0.1377095246937681
299,913.256836,0.994384766,0.859863281,0.1388651839454645
300,303.73535156,1.55834961,0.93212891,0.2063594886164017
301,794.50683594,1.55834961,0.93212891,0.396512958291413
302,303.73535156,0.68188477,0.93212891,0.1416093237761105
303,303.73535156,1.55834961,0.73486328,0.1068442559870633
305,778.735352,2.80834961,0.432128906,0.1261736854556079
306,319.50683594,2.80834961,0.43212891,0.2623182614838221
307,778.735352,1.93188477,0.432128906,0.170226752701117
308,778.735352,2.80834961,0.234863281,0.1469858371158553
309,319.506836,1.93188477,0.234863281,0.0853904113138924
310,541.23535156,0.93334961,0.68212891,0.2443688206909205
311,557.00683594,0.93334961,0.68212891,0.2326513979492854
312,541.23535156,2.55688477,0.68212891,0.1606764568714046
313,541.235352,0.933349609,0.484863281,0.1295980436779611
314,557.006836,2.55688477,0.484863281,0.3074378031801824
315,66.23535156,2.18334961,0.18212891,0.0444092871518441
316,82.00683594,2.18334961,0.18212891,0.0885241491715106
317,66.23535156,1.30688477,0.18212891,0.0471932242903071
318,66.23535156,2.18334961,0.98486328,0.0599623646731227
319,82.00683594,1.30688477,0.98486328,0.1056078702548144
320,73.65722656,0.56225586,0.62744141,0.1240577866896137
322,73.65722656,0.89672852,0.62744141,0.1192540684096587
323,73.65722656,0.56225586,0.66455078,0.0405294316657985
324,683.178711,0.896728516,0.664550781,0.181960983785247
325,548.657227,1.81225586,0.127441406,0.1075380935019703
326,208.178711,1.81225586,0.127441406,0.1162199769389114
327,548.657227,2.14672852,0.127441406,0.1014561282855337
328,548.657227,1.81225586,0.164550781,0.1185468813442345
329,208.178711,2.14672852,0.164550781,0.1946634631272728
