index,pf_size,geno_size,canon_size,red_dup,red_sim,red_total
142,556,349,137,0.3723021582733813,0.6074498567335244,0.7535971223021583
143,67,67,67,0.0,0.0,0.0
144,81,77,70,0.04938271604938271,0.09090909090909094,0.13580246913580252
145,542,409,196,0.24538745387453875,0.5207823960880196,0.6383763837638377
146,81,78,68,0.03703703703703709,0.1282051282051282,0.16049382716049387
147,81,66,66,0.18518518518518523,0.0,0.18518518518518523
148,542,284,124,0.47601476014760147,0.5633802816901409,0.7712177121771218
149,95,86,70,0.09473684210526312,0.18604651162790697,0.26315789473684215
150,942,685,150,0.272823779193206,0.781021897810219,0.8407643312101911
151,95,89,79,0.06315789473684208,0.1123595505617978,0.16842105263157892
152,95,70,57,0.26315789473684215,0.18571428571428572,0.4
153,942,547,188,0.41932059447983017,0.6563071297989032,0.8004246284501062
154,570,375,197,0.3421052631578947,0.4746666666666667,0.6543859649122807
155,467,304,189,0.3490364025695931,0.3782894736842105,0.5952890792291221
156,570,374,156,0.343859649122807,0.5828877005347594,0.7263157894736842
157,570,429,201,0.24736842105263157,0.5314685314685315,0.6473684210526316
158,467,343,123,0.26552462526766596,0.641399416909621,0.7366167023554604
159,808,559,237,0.3081683168316832,0.5760286225402504,0.7066831683168318
160,705,496,198,0.29645390070921984,0.6008064516129032,0.7191489361702128
161,808,565,261,0.3007425742574258,0.5380530973451327,0.676980198019802
162,808,665,225,0.17698019801980203,0.6616541353383458,0.7215346534653465
163,705,581,243,0.17588652482269507,0.5817555938037866,0.6553191489361703
164,333,184,118,0.44744744744744747,0.3586956521739131,0.6456456456456456
165,230,138,113,0.4,0.1811594202898551,0.508695652173913
166,333,199,94,0.40240240240240244,0.5276381909547738,0.7177177177177176
167,333,258,184,0.22522522522522526,0.28682170542635654,0.44744744744744747
168,230,167,123,0.27391304347826084,0.26347305389221554,0.4652173913043478
169,452,318,125,0.29646017699115046,0.6069182389937107,0.7234513274336283
170,111,91,63,0.18018018018018023,0.3076923076923077,0.43243243243243246
171,452,331,193,0.2676991150442478,0.4169184290030211,0.5730088495575221
172,452,217,91,0.5199115044247787,0.5806451612903225,0.7986725663716814
173,111,83,66,0.25225225225225223,0.20481927710843373,0.4054054054054054
174,927,730,251,0.21251348435814454,0.6561643835616439,0.7292340884573894
175,586,488,200,0.16723549488054612,0.5901639344262295,0.658703071672355
176,927,743,214,0.19848975188781015,0.711978465679677,0.7691477885652643
177,927,609,215,0.34304207119741104,0.6469622331691297,0.7680690399137001
178,586,423,170,0.27815699658703075,0.5981087470449172,0.7098976109215017
179,158,107,84,0.32278481012658233,0.2149532710280374,0.4683544303797469
180,269,215,116,0.2007434944237918,0.4604651162790697,0.5687732342007434
181,214,155,94,0.2757009345794392,0.3935483870967742,0.5607476635514019
182,824,594,222,0.279126213592233,0.6262626262626263,0.7305825242718447
183,214,184,134,0.14018691588785048,0.2717391304347826,0.3738317757009346
184,214,151,116,0.29439252336448596,0.23178807947019864,0.4579439252336449
185,824,530,214,0.3567961165048543,0.5962264150943396,0.7402912621359223
186,274,188,139,0.3138686131386861,0.2606382978723404,0.4927007299270073
187,527,341,182,0.3529411764705882,0.46627565982404695,0.6546489563567363
188,274,198,147,0.2773722627737226,0.25757575757575757,0.46350364963503654
189,274,183,96,0.33211678832116787,0.47540983606557374,0.6496350364963503
190,527,345,120,0.34535104364326374,0.6521739130434783,0.7722960151802657
191,749,529,222,0.29372496662216285,0.5803402646502835,0.7036048064085447
192,52,52,52,0.0,0.0,0.0
193,749,549,209,0.26702269692923897,0.6193078324225865,0.7209612817089452
194,749,622,234,0.1695594125500668,0.6237942122186495,0.6875834445927904
195,52,52,52,0.0,0.0,0.0
196,986,703,179,0.28701825557809335,0.7453769559032717,0.8184584178498986
197,764,555,171,0.27356020942408377,0.6918918918918919,0.7761780104712042
198,986,662,233,0.3286004056795132,0.648036253776435,0.7636916835699797
199,986,699,202,0.2910750507099391,0.7110157367668097,0.795131845841785
200,764,551,239,0.27879581151832455,0.5662431941923776,0.6871727748691099
201,511,439,211,0.14090019569471623,0.5193621867881548,0.5870841487279843
202,289,243,103,0.15916955017301038,0.5761316872427984,0.643598615916955
203,511,414,190,0.18982387475538165,0.5410628019323671,0.6281800391389433
204,511,330,190,0.35420743639921726,0.4242424242424242,0.6281800391389433
205,289,161,96,0.4429065743944637,0.40372670807453415,0.6678200692041523
206,392,284,119,0.2755102040816326,0.5809859154929577,0.6964285714285714
207,408,301,170,0.26225490196078427,0.4352159468438538,0.5833333333333333
208,392,307,174,0.21683673469387754,0.4332247557003257,0.5561224489795918
209,392,261,137,0.3341836734693877,0.47509578544061304,0.6505102040816326
210,408,269,137,0.34068627450980393,0.49070631970260226,0.6642156862745099
211,867,482,224,0.4440599769319492,0.5352697095435685,0.7416378316032295
212,883,465,193,0.4733861834654587,0.5849462365591398,0.7814269535673839
213,867,482,220,0.4440599769319492,0.5435684647302905,0.7462514417531718
214,867,677,230,0.21914648212226062,0.6602658788774003,0.7347174163783161
215,883,658,268,0.2548131370328426,0.5927051671732523,0.6964892412231031
216,630,504,209,0.19999999999999996,0.5853174603174602,0.6682539682539683
217,171,148,92,0.13450292397660824,0.3783783783783784,0.4619883040935673
218,630,510,195,0.19047619047619047,0.6176470588235294,0.6904761904761905
219,630,439,162,0.3031746031746032,0.6309794988610478,0.7428571428571429
220,171,140,105,0.18128654970760238,0.25,0.38596491228070173
221,155,122,99,0.2129032258064516,0.1885245901639344,0.3612903225806452
222,646,400,160,0.3808049535603715,0.6,0.7523219814241486
223,155,118,92,0.2387096774193549,0.22033898305084743,0.40645161290322585
224,155,103,85,0.3354838709677419,0.1747572815533981,0.4516129032258065
225,646,356,93,0.4489164086687306,0.7387640449438202,0.8560371517027864
226,125,105,78,0.16000000000000003,0.2571428571428571,0.376
227,378,299,188,0.20899470899470896,0.3712374581939799,0.5026455026455027
228,125,110,96,0.12,0.12727272727272732,0.23199999999999998
229,125,102,65,0.18400000000000005,0.36274509803921573,0.48
230,378,270,145,0.2857142857142857,0.4629629629629629,0.6164021164021164
231,600,378,203,0.37,0.4629629629629629,0.6616666666666666
232,853,526,235,0.38335287221570924,0.5532319391634981,0.7245017584994138
233,600,367,174,0.3883333333333333,0.5258855585831063,0.71
234,600,389,197,0.3516666666666667,0.493573264781491,0.6716666666666666
235,853,535,194,0.37280187573270807,0.6373831775700934,0.772567409144197
236,838,685,219,0.1825775656324582,0.6802919708029197,0.7386634844868736
237,141,119,68,0.15602836879432624,0.4285714285714286,0.5177304964539007
238,838,686,190,0.18138424821002386,0.7230320699708455,0.7732696897374702
239,838,485,200,0.4212410501193318,0.5876288659793815,0.7613365155131265
240,141,114,87,0.19148936170212771,0.23684210526315785,0.3829787234042553
241,363,277,175,0.23691460055096414,0.36823104693140796,0.5179063360881543
242,616,428,202,0.30519480519480524,0.5280373831775701,0.672077922077922
243,363,253,158,0.303030303030303,0.3754940711462451,0.5647382920110193
244,363,274,166,0.24517906336088158,0.3941605839416058,0.5426997245179064
245,616,421,190,0.3165584415584416,0.5486935866983373,0.6915584415584415
246,481,267,126,0.44490644490644493,0.5280898876404494,0.738045738045738
247,735,338,148,0.5401360544217687,0.5621301775147929,0.7986394557823129
248,481,285,136,0.4074844074844075,0.5228070175438597,0.7172557172557172
249,481,383,161,0.20374220374220375,0.5796344647519582,0.6652806652806653
250,735,629,233,0.14421768707482996,0.629570747217806,0.6829931972789116
251,956,671,257,0.2981171548117155,0.6169895678092399,0.7311715481171548
252,260,196,114,0.24615384615384617,0.41836734693877553,0.5615384615384615
253,956,653,254,0.3169456066945606,0.6110260336906586,0.7343096234309623
254,260,163,90,0.3730769230769231,0.4478527607361963,0.6538461538461539
255,719,418,178,0.4186369958275382,0.5741626794258373,0.7524339360222532
256,972,658,240,0.32304526748971196,0.6352583586626139,0.7530864197530864
257,719,446,191,0.3796940194714882,0.5717488789237668,0.7343532684283727
258,719,403,159,0.4394993045897079,0.6054590570719602,0.7788595271210014
259,972,528,174,0.45679012345679015,0.6704545454545454,0.8209876543209876
260,244,194,119,0.20491803278688525,0.38659793814432986,0.5122950819672132
261,497,398,192,0.19919517102615691,0.5175879396984925,0.613682092555332
262,244,193,109,0.2090163934426229,0.43523316062176165,0.5532786885245902
263,244,187,130,0.23360655737704916,0.3048128342245989,0.4672131147540983
264,497,355,192,0.2857142857142857,0.45915492957746484,0.613682092555332
265,184,127,83,0.3097826086956522,0.3464566929133859,0.5489130434782609
